Actor.Emotion,Actor,Emotion,radiate_image_kappa,sona_mean_valence_rating,sona_sd_valence_rating,sona_mean_ambiguity_rating,sona_sd_ambiguity_rating,actor_gender,actor_race,image_taskbased_percent_positive_ratings,image_taskbased_percent_negative_ratings,image_taskbased_percent_no_ratings,image_taskbased_rt_average,image_taskbased_rt_sd
AF01-AO,AF01,angry,0.77,NA,NA,NA,NA,Female,Asian,NA,NA,NA,NA,NA
AF01-HO,AF01,happy,0.97,NA,NA,NA,NA,Female,Asian,NA,NA,NA,NA,NA
AF01-SUR,AF01,surprised,0.64,56.34693878,11.08179713,55.13265306,26.15403923,Female,Asian,0.170731707,0.804878049,0.024390244,0.60879758,0.282490333
AF02-AO,AF02,angry,0.76,79.21428571,16.75674968,19.48979592,18.75245408,Female,Asian,0.048780488,0.926829268,0.024390244,0.482571085,0.169686485
AF02-HO,AF02,happy,0.55,16.10204082,13.35439987,13.14285714,15.76829652,Female,Asian,1,0,0,0.452906539,0.224240064
AF02-SUR,AF02,surprised,0.86,49.75510204,15.53848646,50.97959184,27.02079367,Female,Asian,0.390243902,0.609756098,0,0.579917229,0.286608521
AF03-AO,AF03,angry,0.77,NA,NA,NA,NA,Female,Asian,NA,NA,NA,NA,NA
AF03-HO,AF03,happy,0.97,NA,NA,NA,NA,Female,Asian,NA,NA,NA,NA,NA
AF03-SUR,AF03,surprised,0.61,50.78571429,18.43531461,50.45918367,27.17646358,Female,Asian,0.512195122,0.487804878,0,0.568792573,0.233528134
AF05-AO,AF05,angry,0.49,NA,NA,NA,NA,Female,Asian,NA,NA,NA,NA,NA
AF05-HO,AF05,happy,0.92,NA,NA,NA,NA,Female,Asian,NA,NA,NA,NA,NA
AF05-SUR,AF05,surprised,0.49,54.18367347,18.21427272,52.71428571,26.41149391,Female,Asian,0.317073171,0.682926829,0,0.607198949,0.259108306
AF06-AO,AF06,angry,0.69,NA,NA,NA,NA,Female,Asian,NA,NA,NA,NA,NA
AF06-HO,AF06,happy,0.95,NA,NA,NA,NA,Female,Asian,NA,NA,NA,NA,NA
AF06-SUR,AF06,surprised,0.5,62.19387755,15.1777497,43.93877551,27.995882,Female,Asian,0.268292683,0.707317073,0.024390244,0.54464461,0.267412486
AF07-AO,AF07,angry,0.78,82.18367347,15.03353429,23.20408163,23.4357904,Female,Asian,0.073170732,0.926829268,0,0.537747027,0.26604111
AF07-HO,AF07,happy,0.98,14.80612245,13.50193431,12.58163265,14.17193645,Female,Asian,0.975609756,0.024390244,0,0.497134515,0.192159151
AF07-SUR,AF07,surprised,0.77,57.30612245,17.07739095,48.1122449,24.62790415,Female,Asian,0.341463415,0.658536585,0,0.549426463,0.263635736
AF08-AO,AF08,angry,0.82,86.96938776,16.25090264,15.24489796,18.6785401,Female,Asian,0.024390244,0.975609756,0,0.488711488,0.228477342
AF08-HO,AF08,happy,0.85,22.74489796,15.57907083,23.19387755,21.47050634,Female,Asian,0.926829268,0.073170732,0,0.515521651,0.211996226
AF08-SUR,AF08,surprised,0.46,69.1122449,16.23530749,37.04081633,24.94650705,Female,Asian,0.12195122,0.87804878,0,0.568730012,0.270315674
